id,user_id,vehicle_model_id,package_id,travel_type_id,from_area_id,to_area_id,from_city_id,to_city_id,online_booking,mobile_site_booking,from_lat,from_long,to_lat,to_long
132842,22353,12,0,2,824,393,0,0,0,0,13.06557,77.58646,13.19956,77.70688
132844,22356,12,0,2,393,1189,0,0,1,0,13.19956,77.70688,12.91873,77.61494
132845,9506,12,0,2,572,601,0,0,0,0,12.91873,77.61494,13.02434,77.56593
132848,14760,12,0,2,1010,571,0,0,0,0,12.96691,77.74935,12.95185,77.69642
132852,22361,12,0,2,1331,1238,0,0,0,0,12.896203,77.598108,12.92323,77.59203
132854,18577,12,0,2,1010,1189,0,0,0,0,12.96691,77.74935,12.91873,77.61494
132855,22362,12,0,2,768,393,0,0,0,0,12.98999,77.55332,13.19956,77.70688
132859,21864,12,0,2,1384,1063,0,0,1,0,13.02853,77.54625,12.934477,77.611284
132866,16,28,0,2,1063,52,0,0,0,0,12.934477,77.611284,12.94329,77.54281
132867,59,12,0,2,293,601,0,0,0,0,12.849482,77.663187,13.02434,77.56593
132869,21542,12,0,2,1371,136,0,0,0,0,13.000418,77.674835,12.90796,77.62418
132873,22370,12,0,2,1089,1010,0,0,0,0,12.99517,77.731147,12.96691,77.74935
132875,22370,12,0,2,1089,994,0,0,0,0,12.99517,77.731147,12.93965,77.74657
132879,2422,12,0,2,571,452,0,0,0,0,12.95185,77.69642,12.95278,77.59088
132880,22374,12,0,2,541,1165,0,0,0,0,12.93524,77.61997,12.990947,77.687112
132883,4751,12,2,3,58,0,0,0,0,0,12.88963,77.60119,0,0
132885,21717,12,1,3,1255,0,0,0,1,0,13.016558,77.621498,0,0
132890,6449,12,0,2,977,393,0,0,0,0,12.969933,77.533286,13.19956,77.70688
132898,22382,28,0,2,1061,1021,0,0,0,0,12.924878,77.566255,13.02853,77.54625
132901,22383,12,0,2,293,296,0,0,0,0,12.849482,77.663187,12.96662,77.59868
132917,14257,12,0,2,1257,1053,0,0,0,0,12.934477,77.611284,12.912799,77.589784
132918,2053,12,1,3,1373,0,0,0,0,0,13.037255,77.58166,0,0
132923,21105,23,2,3,949,0,0,0,0,0,12.98275,77.61582,0,0
132928,7995,12,0,2,1086,1384,0,0,1,0,12.907487,77.64729,13.02853,77.54625
132930,24916,12,1,3,1383,0,0,0,0,0,12.930451,77.685822,0,0
132935,22395,12,0,2,784,571,0,0,0,0,12.96634,77.60709,12.95185,77.69642
132942,20720,12,1,3,1056,0,0,0,0,0,12.919199,77.60931,0,0
132945,33981,12,0,2,689,585,0,0,1,0,12.97672,77.64927,12.97677,77.5727
132946,22400,12,0,2,450,393,0,0,0,0,12.9334,77.62652,13.19956,77.70688
132953,22403,12,0,2,585,1301,0,0,0,0,12.97677,77.5727,12.937222,77.626915
132958,19414,28,0,2,949,393,0,0,0,0,12.98275,77.61582,13.19956,77.70688
132965,22413,12,0,2,1388,393,0,0,0,0,12.919722,77.592806,13.19956,77.70688
132972,1649,12,0,2,393,344,0,0,0,0,13.19956,77.70688,12.94788,77.67092
132975,22419,87,2,3,571,0,0,0,0,0,12.95185,77.69642,0,0
132981,15800,12,0,2,601,689,0,0,0,0,13.02434,77.56593,12.97672,77.64927
132984,33981,12,0,2,689,410,0,0,0,0,12.97672,77.64927,13.05121,77.54113
132985,15400,12,1,3,479,0,0,0,0,0,13.02298,77.60922,0,0
132988,4778,12,0,2,1136,393,0,0,1,0,12.99049,77.69798,13.19956,77.70688
132995,22428,12,0,2,83,1063,0,0,0,0,12.92415,77.67229,12.934477,77.611284
133008,21858,12,0,2,1181,58,0,0,0,0,12.97896,77.67345,12.88963,77.60119
133021,22444,12,0,2,150,393,0,0,0,0,12.89724,77.61065,13.19956,77.70688
133023,8467,12,1,3,471,0,0,0,1,0,13.01854,77.63524,0,0
133026,22428,12,0,2,1281,83,0,0,0,0,12.934634,77.611283,12.92415,77.67229
133038,22449,12,0,2,1262,1192,0,0,0,0,12.81575,77.68465,12.97677,77.5727
133045,22453,12,0,2,822,393,0,0,0,0,13.01024,77.58056,13.19956,77.70688
133046,22454,12,0,2,1010,571,0,0,1,0,12.96691,77.74935,12.95185,77.69642
133050,22458,12,0,2,1192,396,0,0,0,0,12.97677,77.5727,12.92073,77.66482
133054,22451,65,0,2,974,393,0,0,0,0,13.07557,77.55904,13.19956,77.70688
133055,15932,12,0,2,1191,1038,0,0,1,0,13.03017,77.56684,12.981266,77.637162
133057,22461,12,1,3,149,0,0,0,0,0,12.93022,77.56039,0,0
133068,22465,12,0,2,1010,176,0,0,0,0,12.96691,77.74935,12.9073,77.69512
133069,12973,12,0,2,137,97,0,0,0,0,12.81575,77.68465,12.97943,77.66125
133070,17664,12,0,2,767,221,0,0,1,0,12.9122,77.51043,12.98541,77.57891
